Suite ID	Suite owner	Description	To keep	Deprecated
biomodels	bgruening	Wrappers for tools to bring BioModels AI models into Galaxy.	False	False
black_forest_labs_flux	bgruening	Using the black forest labs FLUX.1 models to generate image based on user input.	False	False
chatgpt_openai_api	bgruening	Using the OpenAI GPT models to generate text based on user input.	False	False
chopin2	iuc	Domain-Agnostic Supervised Learning with Hyperdimensional Computing	False	False
create_tool_recommendation_model	bgruening	Create model to recommend tools	False	False
decontaminator	iuc	Deep Learning method for novel virus detection in sequencing data	False	False
deepmicro	iuc	Representation learning and classification framework	False	False
dfpl	ufz	Galaxy wrapper for deepFPlearn.	False	False
flexynesis	bgruening	This is a deep-learning based multi-omics bulk sequencing data integration suite with a focus on (pre-)clinical endpoint prediction.		
run_jupyter_job	bgruening	Run jupyter notebook script in Galaxy	False	False
sklearn	bgruening	Machine Learning tool suite from Scikit-learn	False	False
tabpfn	bgruening	Tabular data prediction using TabPFN using Pytorch.	False	False
virhunter	iuc	Deep Learning method for novel virus detection in sequencing data	False	False
whisper	bgruening	Transcribe audio or video files to text using the OpenAI Whisper.	False	False
