Galaxy wrapper id	Galaxy tool ids	Description	bio.tool id	bio.tool ids	biii	bio.tool name	bio.tool description	EDAM operation	EDAM topic	Status	Source	ToolShed categories	ToolShed id	Galaxy wrapper owner	Galaxy wrapper source	Galaxy wrapper parsed folder	Galaxy wrapper version	Conda id	Conda version	EDAM operation (no superclasses)	EDAM topic (no superclasses)	Available on UseGalaxy.org (Main)	Available on UseGalaxy.org.au	Available on UseGalaxy.eu	Available on UseGalaxy.fr	Tools available on UseGalaxy.org (Main)	Tools available on UseGalaxy.org.au	Tools available on UseGalaxy.eu	Tools available on UseGalaxy.fr	Tools available on ANASTASIA	Tools available on APOSTL	Tools available on ARGs-OAP	Tools available on BF2I-MAP	Tools available on BioBix	Tools available on CIRM-CFBP	Tools available on Center for Phage Technology (CPT)	Tools available on ChemFlow	Tools available on Coloc-stats	Tools available on CorGAT	Tools available on CropGalaxy	Tools available on Dintor	Tools available on FreeBioinfo	Tools available on GASLINI	Tools available on Galaxy@AuBi	Tools available on Galaxy@Pasteur	Tools available on GalaxyTrakr	Tools available on Genomic Hyperbrowser	Tools available on GigaGalaxy	Tools available on HyPhy HIV NGS Tools	Tools available on IPK Galaxy Blast Suite	Tools available on ImmPort Galaxy	Tools available on InteractoMIX	Tools available on MISSISSIPPI	Tools available on Mandoiu Lab	Tools available on MiModD NacreousMap	Tools available on Oqtans	Tools available on Palfinder	Tools available on PepSimili	Tools available on PhagePromotor	Tools available on Protologger	Tools available on UseGalaxy.be	Tools available on UseGalaxy.cz	Tools available on UseGalaxy.no	No. of tool users (2022-2023) (usegalaxy.eu)	Total tool usage (usegalaxy.eu)	Reviewed	Deprecated	To keep
TrimNs	trimns	TrimNs is used to trim and remove fake cut sites from bionano hybrid scaffold data in the VGP pipeline								To update	https://github.com/VGP/vgp-assembly/tree/master/pipeline/bionano/trimNs	Assembly	trimns	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/trimN	https://github.com/galaxyproject/tools-iuc/tree/main/tools/TrimNs	0.1.0	trimns_vgp	1.0			0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	42	False		
abacas	abacas	Order and Orientate Contigs								To update	https://github.com/phac-nml/abacas	Assembly	abacas	nml	https://github.com/phac-nml/abacas	https://github.com/phac-nml/galaxy_tools/tree/master/tools/abacas	1.1	mummer	3.23			0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
abyss	abyss-pe	Assembly By Short Sequences - a de novo, parallel, paired-end sequence assembler	abyss	abyss		ABySS	De novo genome sequence assembler using short reads.	Genome assembly, De-novo assembly, Scaffolding	Sequence assembly	Up-to-date	http://www.bcgsc.ca/platform/bioinfo/software/abyss	Assembly	abyss	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/abyss	https://github.com/galaxyproject/tools-iuc/tree/main/tools/abyss	2.3.7	abyss	2.3.7	Genome assembly, De-novo assembly, Scaffolding	Sequence assembly	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	391	4278	False		
adapter_removal	adapter_removal	Removes residual adapter sequences from single-end (SE) or paired-end (PE) FASTQ reads.	adapterremoval	adapterremoval		AdapterRemoval	AdapterRemoval searches for and removes adapter sequences from High-Throughput Sequencing (HTS) data and (optionally) trims low quality bases from the 3' end of reads following adapter removal. AdapterRemoval can analyze both single end and paired end data, and can be used to merge overlapping paired-ended reads into (longer) consensus sequences. Additionally, AdapterRemoval can construct a consensus adapter sequence for paired-ended reads, if which this information is not available.	Sequence trimming, Sequence merging, Primer removal		Up-to-date	https://github.com/MikkelSchubert/adapterremoval	Fasta Manipulation, Sequence Analysis	adapter_removal	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/adapter_removal/	https://github.com/galaxyproject/tools-iuc/tree/main/tools/adapter_removal	2.3.3	adapterremoval	2.3.3	Sequence trimming, Sequence merging, Primer removal		0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	37	217	False		
agat	agat	GTF/GFF analysis toolkit	agat	agat		AGAT	Another Gff Analysis Toolkit (AGAT)Suite of tools to handle gene annotations in any GTF/GFF format.	Data handling, Genome annotation	Genomics	To update	https://github.com/NBISweden/AGAT	Convert Formats, Statistics, Fasta Manipulation	agat	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/agat	https://github.com/bgruening/galaxytools/tree/master/tools/agat	1.2.0	agat	1.4.0	Data handling, Genome annotation	Genomics	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	42	481	False		
align_back_trans	align_back_trans	Thread nucleotides onto a protein alignment (back-translation)								To update	https://github.com/peterjc/pico_galaxy/tree/master/tools/align_back_trans	Fasta Manipulation, Sequence Analysis	align_back_trans	peterjc	https://github.com/peterjc/pico_galaxy/tree/master/tools/align_back_trans	https://github.com/peterjc/pico_galaxy/tree/master/tools/align_back_trans	0.0.10	biopython	1.70			0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	11	329	False		
assembly-stats	assembly_stats	Assembly metric visualisations to facilitate rapid assessment and comparison of assembly quality.								To update	https://github.com/rjchallis/assembly-stats	Assembly	assembly_stats	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/assembly-stats	https://github.com/galaxyproject/tools-iuc/tree/main/tools/assembly-stats	17.02	rjchallis-assembly-stats				0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
assemblystats	assemblystats	Summarise an assembly (e.g. N50 metrics)								To update	https://github.com/phac-nml/galaxy_tools	Assembly	assemblystats	nml	https://github.com/phac-nml/galaxy_tools	https://github.com/phac-nml/galaxy_tools/tree/master/tools/assemblystats	1.1.0	perl-bioperl	1.7.8			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
atactk_trim_adapters	atactk_trim_adapters	Trim adapters from paired-end HTS reads.								To update	https://github.com/ParkerLab/atactk/	Fastq Manipulation	atactk_trim_adapters	rnateam	https://github.com/bgruening/galaxytools/blob/master/tools/trim_adapters	https://github.com/bgruening/galaxytools/tree/master/tools/atactk_trim_adapters	0.1.6	atactk	0.1.9			0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	26	257	False		
bam2mappingstats	bam2mappingstats	Generates mapping stats from a bam file.								To update	https://github.com/phac-nml/galaxy_tools	Assembly	bam2mappingstats	nml	https://github.com/phac-nml/galaxy_tools	https://github.com/phac-nml/galaxy_tools/tree/master/tools/bam2mappingstats	1.1.0	perl				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False		
