Name	Source	ID	Link	Creators	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	To keep	Deprecated
bacterial-quality-and-contamination-control-post-assembly/main	WorkflowHub	1882	https://workflowhub.eu/workflows/1882?version=2	ABRomics None, Pierre Marin, Clea Siguret		2025-08-28	2025-08-28	2	2	14.0	tooldistillator_summarize, collapse_dataset, recentrifuge, tooldistillator, checkm2, est_abundance, quast, pick_value, kraken2	Data parsing, Validation, Visualisation, Expression analysis, Sequence composition calculation, Taxonomic classification, Statistical calculation, Sequence assembly validation, Cross-assembly, Sequencing quality control		GPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	True	False
sars-cov-2-pe-illumina-artic-ivar-analysis/SARS-COV-2-ILLUMINA-AMPLICON-IVAR-PANGOLIN-NEXTCLADE	WorkflowHub	155	https://workflowhub.eu/workflows/155?version=6	Peter van Heusden	virology	2025-07-31	2025-08-19	6	6	16.0	snpeff_sars_cov_2, __FLATTEN__, ivar_trim, nextclade, samtools_stats, bwa_mem, ivar_variants, samtools_view, tp_sed_tool, tp_cat, qualimap_bamqc, multiqc, pangolin, fastp, ivar_consensus	Sequence contamination filtering, Sequence alignment, Sequencing quality control, Variant calling, Variant classification, Primer removal, Methylation analysis, Generation, Validation, Read mapping, Tree-based sequence alignment, Genome indexing, SNP detection		MIT		Intergalactic Workflow Commission (IWC)	True	False
sars-cov-2-pe-illumina-wgs-variant-calling/COVID-19-PE-WGS-ILLUMINA	WorkflowHub	113	https://workflowhub.eu/workflows/113?version=4	Wolfgang Maier	virology, covid-19, covid19.galaxyproject.org, emergen_validated	2021-12-21	2025-08-19	4	4	11.0	snpeff_sars_cov_2, samtools_stats, lofreq_filter, bwa_mem, lofreq_viterbi, samtools_view, multiqc, lofreq_indelqual, picard_MarkDuplicates, lofreq_call, fastp	Sequence contamination filtering, Sequencing quality control, Generation, Validation, Read mapping, SNP detection, Formatting, Genome indexing, Sequence alignment		MIT		Intergalactic Workflow Commission (IWC)	True	False
generic-non-segmented-viral-variant-calling/main	WorkflowHub	1876	https://workflowhub.eu/workflows/1876?version=1	Peter van Heusden, Wolfgang Maier	virology	2025-08-19	2025-08-19	1	1	23.0	__FLATTEN__, calculate_numeric_param, ivar_trim, collapse_dataset, lofreq_viterbi, pick_value, ivar_variants, tp_cat, qualimap_bamqc, snpEff, samtools_stats, samtools_view, __FILTER_FAILED_DATASETS__, tp_sed_tool, map_param_value, multiqc, fastp, ivar_consensus, tp_find_and_replace, snpSift_extractFields, bwa_mem, snpEff_build_gb	Sequence contamination filtering, Read mapping, Sequence alignment, Genome indexing, Primer removal, Validation, Generation, Sequencing quality control		AGPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	True	False
influenza-isolates-consensus-and-subtyping/main	WorkflowHub	1260	https://workflowhub.eu/workflows/1260?version=2	Viktoria Isabel Schwarz, Wolfgang Maier, Aaron Kolbecher, Saim Momin	virology	2025-05-14	2025-08-19	2	2	41.0	Show beginning1, collapse_dataset, collection_element_identifiers, param_value_from_file, pick_value, __APPLY_RULES__, __EXTRACT_DATASET__, Grep1, __UNZIP_COLLECTION__, iqtree, rbc_mafft, qualimap_bamqc, wc_gnu, __RELABEL_FROM_FILE__, samtools_view, map_param_value, seqtk_subseq, fastp, ivar_consensus, tp_find_and_replace, bamtools_split_ref, bwa_mem, __DUPLICATE_FILE_TO_COLLECTION__, vapor, snipit, Paste1	Sequence contamination filtering, De-novo assembly, Sequence file editing, Sequence alignment, Multiple sequence alignment, Primer removal, Data handling, Generation, Sequence alignment analysis, Read mapping, Data retrieval, Base position variability plotting, Sequence analysis, Genome indexing, Phylogenetic analysis, Sequencing quality control		AGPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	True	False
pox-virus-amplicon/main	WorkflowHub	439	https://workflowhub.eu/workflows/439?version=4	Viktoria Isabel Schwarz, Wolfgang Maier	virology, pox	2025-10-11	2025-10-11	4	4	40.0	"ivar_trim, 
 Cut1, compose_text_param, collection_element_identifiers, 
 __FLATTEN__, samtools_merge, 
 __SORTLIST__, 
 __ZIP_COLLECTION__, tp_cat, qualimap_bamqc, split_file_to_collection, 
 param_value_from_file, samtools_stats, 
 __FILTER_FAILED_DATASETS__, 
 Grep1, samtools_view, tp_sed_tool, multiqc, fastp, EMBOSS: maskseq51, ivar_consensus, datamash_ops, bwa_mem, 
 __APPLY_RULES__, fasta_compute_length"	Sequence contamination filtering, Sequence alignment, Primer removal, Validation, Generation, Sequence alignment analysis, Read mapping, Genome indexing, Sequence analysis, Local alignment, Global alignment, Sequencing quality control		MIT		Intergalactic Workflow Commission (IWC)	True	False
allele-based-pathogen-identification/main	WorkflowHub	1063	https://workflowhub.eu/workflows/1063?version=5	Engy Nasr, Bérénice Batut, Paul Zierep		2025-03-26	2025-08-18	5	5	23.0	Cut1, CONVERTER_gz_to_uncompressed, samtools_coverage, bcftools_norm, snpSift_extractFields, clair3, collapse_dataset, tp_cut_tool, snpSift_filter, bcftools_consensus, samtools_depth, tp_head_tool, table_compute, Count1, Remove beginning1, minimap2, regexColumn1, Paste1	Variant calling, Pairwise sequence alignment		MIT		Intergalactic Workflow Commission (IWC)	True	False
mgnify-amplicon-pipeline-v5-complete/main	WorkflowHub	1274	https://workflowhub.eu/workflows/1274?version=2	Rand Zoabi, Paul Zierep		2025-03-26	2025-08-18	2	2	20.0	, CONVERTER_gz_to_uncompressed, fastq_dl, CONVERTER_uncompressed_to_gz, __MERGE_COLLECTION__, tp_awk_tool			Apache-2.0		Intergalactic Workflow Commission (IWC)	True	False
mgnify-amplicon-pipeline-v5-its/main	WorkflowHub	1273	https://workflowhub.eu/workflows/1273?version=2	Rand Zoabi, Paul Zierep		2025-03-26	2025-08-18	2	2	30.0	, __FILTER_EMPTY_DATASETS__, __FILTER_FROM_FILE__, biom_convert, tp_awk_tool, taxonomy_krona_chart, collection_element_identifiers, mapseq, bedtools_maskfastabed	Visualisation, Mapping, Formatting, k-mer counting		Apache-2.0		Intergalactic Workflow Commission (IWC)	True	False
mgnify-amplicon-pipeline-v5-quality-control-paired-end/main	WorkflowHub	1272	https://workflowhub.eu/workflows/1272?version=2	Rand Zoabi, Paul Zierep		2025-03-26	2025-08-18	2	2	17.0	fastqc, __UNZIP_COLLECTION__, prinseq, trimmomatic, fastq_filter, cshl_fasta_formatter, multiqc, fastq_to_fasta_python, fastp, mgnify_seqprep, tp_find_and_replace	Sequence contamination filtering, Read pre-processing, Validation, Sequence trimming, Sequence composition calculation, Statistical calculation, Nucleic acid design, Sequencing quality control		Apache-2.0		Intergalactic Workflow Commission (IWC)	True	False
