Suite ID	Homepage	Suite source
QCxMS	https://github.com/grimme-lab/QCxMS	https://github.com/RECETOX/galaxytools/tree/master/tools/qcxms
camera		
chatgpt_openai_api	https://github.com/bgruening/galaxytools/tree/master/tools/chatgpt	https://github.com/bgruening/galaxytools/tree/master/tools/chatgpt
correlation_analysis	http://workflow4metabolomics.org	https://github.com/workflow4metabolomics/tools-metabolomics/blob/master/tools/correlation_analysis/
dimet	https://github.com/cbib/DIMet	https://github.com/galaxyproject/tools-iuc/tree/main/tools/dimet
intensity_checks	https://workflow4metabolomics.org/	https://github.com/workflow4metabolomics/tools-metabolomics
llm_hub	https://github.com/bgruening/galaxytools/tree/master/tools/llm_hub	https://github.com/bgruening/galaxytools/tree/master/tools/llm_hub
maplot	https://github.com/galaxyproject/tools-iuc	https://github.com/galaxyproject/tools-iuc/tree/main/tools/maplot
misc	https://github.com/RECETOX/galaxytools	https://github.com/RECETOX/galaxytools/tree/master/tools/misc
sklearn	http://scikit-learn.org	https://github.com/bgruening/galaxytools/tree/master/tools/sklearn
tables	https://github.com/RECETOX/galaxytools	https://github.com/RECETOX/galaxytools/tree/master/tools/tables
tracegroomer	https://github.com/cbib/TraceGroomer	https://github.com/galaxyproject/tools-iuc/tree/main/tools/tracegroomer
w4mconcatenate	http://workflow4metabolomics.org	https://github.com/workflow4metabolomics/tools-metabolomics
xtb_molecular_optimization	https://github.com/grimme-lab/xtb	https://github.com/RECETOX/galaxytools/tree/master/tools/xtb
