Name	Source	ID	Link	Creators	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	To keep	Deprecated
lcms-preprocessing/main	WorkflowHub	677	https://workflowhub.eu/workflows/677?version=2	workflow4metabolomics	metabolomics	2025-05-29	2026-05-14	2	2	12.0	abims_xcms_retcor, xcms_merge, checkFormat, abims_xcms_fillPeaks, abims_CAMERA_annotateDiffreport, abims_xcms_xcmsSet, msnbase_readmsdata, abims_xcms_group, intens_check, xcms_plot_chromatogram	Label-free quantification, Chromatogram visualisation, Data filtering, Peak detection, Mass spectrum visualisation, Chromatographic alignment, Validation		MIT		Intergalactic Workflow Commission (IWC)	True	False
gcms-metams/main	WorkflowHub	680	https://workflowhub.eu/workflows/680?version=2	workflow4metabolomics	metabolomics	2025-05-20	2026-05-14	2	2	7.0	Multivariate, xcms_merge, checkFormat, msnbase_readmsdata, metams_runGC, abims_xcms_xcmsSet, xcms_plot_chromatogram	Label-free quantification, Chromatogram visualisation, Data filtering, Peak detection, Mass spectrum visualisation, Chromatographic alignment, Validation		MIT		Intergalactic Workflow Commission (IWC)	True	False
End-to-end EI+ mass spectra prediction workflow using QCxMS	WorkflowHub	1597	https://workflowhub.eu/workflows/1597?version=1		exposomics, gc-ms, gtn, galaxy, metabolomics, qcxms	2025-06-02	2025-06-02	1	1	14.0	"param_value_from_file, tp_cut_tool, split_file_to_collection, qcxms_getres, Remove failed runs
__FILTER_FAILED_DATASETS__, qcxms_neutral_run, qcxms_production_run, xtb_molecular_optimization, ctb_im_conformers, tp_cat, openbabel_compound_convert"			MIT		Galaxy Training Network	True	False
MSI Workflow: spatial distribution	WorkflowHub	1593	https://workflowhub.eu/workflows/1593?version=1		gtn, galaxy, metabolomics	2025-06-02	2025-06-02	1	1	8.0	cardinal_filtering, Filter1, cardinal_quality_report, cardinal_spectra_plots, cardinal_data_exporter, cardinal_mz_images			CC-BY-4.0		Galaxy Training Network	True	False
Molecular formula assignment and recalibration with MFAssignR package.	WorkflowHub	1591	https://workflowhub.eu/workflows/1591?version=1		formulaassignment, gtn, galaxy, metabolomics, noiseestimation, recalibration	2025-06-02	2025-06-02	1	1	9.0	mfassignr_kmdnoise, mfassignr_mfassign, mfassignr_snplot, mfassignr_recallist, mfassignr_findRecalSeries, mfassignr_recal, mfassignr_histnoise, mfassignr_isofiltr, mfassignr_mfassignCHO	Visualisation, Deisotoping, Annotation, Mass spectra calibration		MIT		Galaxy Training Network	True	False
MSI Finding Diff Analytes	WorkflowHub	1587	https://workflowhub.eu/workflows/1587?version=1		gtn, galaxy, metabolomics	2025-06-02	2025-06-02	1	1	14.0	cardinal_preprocessing, cardinal_combine, maldi_quant_peak_detection, maldi_quant_preprocessing, Filter1, cardinal_classification, cardinal_quality_report, cardinal_segmentations, Summary_Statistics1, join_files_on_column_fuzzy, cardinal_mz_images, Grep1			CC-BY-4.0		Galaxy Training Network	True	False
Workflow Constructed From History 'imported: testpourGCC'	WorkflowHub	1584	https://workflowhub.eu/workflows/1584?version=1		gtn, galaxy, metabolomics	2025-06-02	2025-06-02	1	1	17.0	wsdl_hmdb, generic_filter, quality_metrics, abims_xcms_retcor, Univariate, xcms_merge, Batch_correction, abims_CAMERA_annotateDiffreport, msnbase_readmsdata, abims_xcms_xcmsSet, abims_xcms_group, abims_xcms_fillPeaks, xcms_plot_chromatogram	Label-free quantification, Chromatogram visualisation, Data filtering, Peak detection, Mass spectrum visualisation, Chromatographic alignment, Validation		CC-BY-4.0		Galaxy Training Network	True	False
GC MS using XCMS	WorkflowHub	1582	https://workflowhub.eu/workflows/1582?version=1		expospomics, gc-ms, gtn, galaxy, metabolomics	2025-06-02	2025-06-02	1	1	12.0	ramclustr, matchms_formatter, abims_xcms_retcor, msconvert, xcms_merge, matchms_similarity, msnbase_readmsdata, abims_xcms_group, abims_xcms_xcmsSet, riassigner, abims_xcms_fillPeaks	Spectral library search, Label-free quantification, Filtering, Correlation, Peak detection, Mass spectrum visualisation, Chromatographic alignment, Validation, Format validation, Formatting, Chromatogram visualisation, Data filtering, Imputation, Clustering, Standardisation and normalisation		MIT		Galaxy Training Network	True	False
End-to-end EI+ mass spectra prediction workflow using QCxMS	WorkflowHub	897	https://workflowhub.eu/workflows/897?version=3	Zargham Ahmad, Helge Hecht, Wudmir Rojas	exposomics, gc-ms, metabolomics, qcxms	2025-04-28	2026-05-13	3	3	8.0	"qcxms_getres, Remove failed runs
__FILTER_FAILED_DATASETS__, qcxms_neutral_run, qcxms_production_run, xtb_molecular_optimization, ctb_im_conformers, openbabel_compound_convert"		Computational chemistry	MIT	10.48546/workflowhub.workflow.897.3	RECETOX SpecDatRI, ELIXIR Metabolomics	True	False
Theoretical fragment substructure generation and in silico mass spectral library high-resolution upcycling workflow	WorkflowHub	888	https://workflowhub.eu/workflows/888?version=2	Zargham Ahmad, Helge Hecht, Elliott J. Price	bioinformatics, cheminformatics, metabolomics	2024-06-06	2026-06-25	2	2	22.0	tp_find_and_replace, msmetaenhancer, matchms_subsetting, csv_to_tabular, matchms_remove_key, matchms_add_key, tabular_to_csv, recetox_msfinder, use_theoretical_mz_annotations, matchms_convert, column_remove_by_header, matchms_filtering, matchms_metadata_export, rem_complex	Annotation, Spectral library search, Filtering, Standardisation and normalisation, Format validation	Compound libraries and screening, Computational chemistry, Data mining, Small molecules	CC-BY-4.0	10.48546/workflowhub.workflow.888.2	RECETOX SpecDatRI, ELIXIR Metabolomics	True	False
