Galaxy wrapper id,Total tool usage (usegalaxy.eu),No. of tool users (2022-2023) (usegalaxy.eu),Galaxy tool ids,Description,bio.tool id,bio.tool name,bio.tool description,EDAM operation,EDAM topic,Status,Source,ToolShed categories,ToolShed id,Galaxy wrapper owner,Galaxy wrapper source,Galaxy wrapper version,Conda id,Conda version,https://usegalaxy.org,https://usegalaxy.org.au,https://usegalaxy.eu,Reviewed,To keep,EDAM operation low classes
TreeBest,,,treebest_best,TreeBeST best,,,,,,To update,http://treesoft.sourceforge.net/treebest.shtml,Phylogenetics,treebest_best,earlhaminst,https://github.com/TGAC/earlham-galaxytools/tree/master/tools/TreeBest,1.9.2.post0,treebest,1.9.2.post1,(0/1),(0/1),(1/1),True,True,
ete,1255.0,67.0,"ete_gene_csv_finder, ete_genetree_splitter, ete_homology_classifier, ete_init_taxdb, ete_lineage_generator, ete3_mod, ete_species_tree_generator",Analyse phylogenetic trees using the ETE Toolkit,,,,,,To update,http://etetoolkit.org/,Phylogenetics,ete,earlhaminst,https://github.com/TGAC/earlham-galaxytools/tree/master/tools/ete,3.1.2,ete3,3.1.1,(0/7),(0/7),(7/7),True,True,
lotus2,936.0,114.0,lotus2,LotuS2 OTU processing pipeline,lotus2,lotus2,"LotuS2 is a lightweight and user-friendly pipeline that is fast, precise, and streamlined, using extensive pre- and post-ASV/OTU clustering steps to further increase data quality. High data usage rates and reliability enable high-throughput microbiome analysis in minutes.",Sequence feature detection,Metagenomics,Up-to-date,http://lotus2.earlham.ac.uk/,Metagenomics,lotus2,earlhaminst,https://github.com/TGAC/earlham-galaxytools/tree/master/tools/lotus2,2.32,lotus2,2.32,(0/1),(0/1),(1/1),True,True,Sequence feature detection
abacas,,,abacas,Order and Orientate Contigs,,,,,,To update,https://github.com/phac-nml/abacas,Assembly,abacas,nml,https://github.com/phac-nml/abacas,1.1,mummer,3.23,(0/1),(0/1),(0/1),True,True,
assemblystats,,,assemblystats,Summarise an assembly (e.g. N50 metrics),,,,,,To update,https://github.com/phac-nml/galaxy_tools,Assembly,assemblystats,nml,https://github.com/phac-nml/galaxy_tools,1.1.0,perl-bioperl,1.7.8,(0/1),(0/1),(0/1),True,True,
biohansel,,,biohansel,Heidelberg and Enteritidis SNP Elucidation,,,,,,To update,https://github.com/phac-nml/biohansel,Sequence Analysis,biohansel,nml,https://github.com/phac-nml/biohansel,2.4.0,bio_hansel,2.6.1,(0/1),(0/1),(0/1),True,True,
combine_assembly_stats,,,combine_stats,Combine multiple Assemblystats datasets into a single tabular report,,,,,,To update,https://github.com/phac-nml/galaxy_tools,Assembly,combine_assemblystats,nml,https://github.com/phac-nml/galaxy_tools,1.0,perl-getopt-long,2.54,(0/1),(0/1),(0/1),True,True,
cryptogenotyper,8518.0,16.0,CryptoGenotyper,CryptoGenotyper is a standalone tool to *in-silico*  determine species and subtype based on SSU rRNA and gp60 markers.,,,,,,Up-to-date,https://github.com/phac-nml/CryptoGenotyper,Sequence Analysis,cryptogenotyper,nml,https://github.com/phac-nml/CryptoGenotyper,1.0,cryptogenotyper,1.0,(0/1),(0/1),(1/1),True,True,
ectyper,9907.0,53.0,ectyper,EC-Typer - in silico serotyping of Escherichia coli species,,,,,,Up-to-date,https://github.com/phac-nml/ecoli_serotyping,Sequence Analysis,ectyper,nml,https://github.com/phac-nml/ecoli_serotyping,1.0.0,ectyper,1.0.0,(0/1),(0/1),(1/1),True,True,
filter_spades_repeats,,,filter_spades_repeat,Remove short and repeat contigs/scaffolds,,,,,,To update,https://github.com/phac-nml/galaxy_tools/,Assembly,filter_spades_repeats,nml,https://github.com/phac-nml/galaxy_tools/,1.0.1,perl-bioperl,1.7.8,(0/1),(0/1),(0/1),True,True,
getmlst,,,getmlst,Download MLST datasets by species from pubmlst.org,,,,,,To update,,Sequence Analysis,getmlst,nml,,0.1.4.1,srst2,0.2.0,(0/1),(0/1),(0/1),True,True,
hivtrace,,,hivtrace,An application that identifies potential transmission clusters within a supplied FASTA file with an option to find potential links against the Los Alamos HIV Sequence Database.,,,,,,To update,,Sequence Analysis,hivtrace,nml,https://github.com/phac-nml/galaxy_tools/tree/tools/hivtrace,1.0.1,hivtrace,1.5.0,(0/1),(0/1),(0/1),True,True,
kat_filter,,,kat_@EXECUTABLE@,Filtering kmers or reads from a database of kmers hashes,,,,,,To update,,Sequence Analysis,kat_filter,nml,,2.3,kat,2.4.2,(0/1),(0/1),(0/1),True,True,
mob_suite,89021.0,322.0,"mob_recon, mob_typer","MOB-suite is a set of software tools for clustering, reconstruction and typing of plasmids from draft assemblies",,,,,,To update,https://github.com/phac-nml/mob-suite,Sequence Analysis,mob_suite,nml,https://github.com/phac-nml/mob-suite,3.0.3,mob_suite,3.1.8,(0/2),(2/2),(2/2),True,True,
mrbayes,,,mrbayes,A program for the Bayesian estimation of phylogeny.,,,,,,To update,,Sequence Analysis,mrbayes,nml,,1.0.2,mrbayes,3.2.7,(0/1),(0/1),(0/1),True,True,
mykrobe_parser,,,mykrobe_parseR,RScript to parse the results of mykrobe predictor.,,,,,,To update,https://github.com/phac-nml/mykrobe-parser,Sequence Analysis,mykrobe_parser,nml,https://github.com/phac-nml/mykrobe-parser,0.1.4.1,r-base,,(0/1),(0/1),(0/1),True,True,
plasmidspades,,,plasmidspades,Genome assembler for assemblying plasmid,,,,,,To update,,Assembly,plasmidspades,nml,,1.1,spades,3.15.5,(0/1),(0/1),(0/1),True,True,
promer,,,promer4_substitutions,Aligns two sets of contigs and reports amino acid substitutions between them,,,,,,To update,https://github.com/phac-nml/promer,Assembly,promer,nml,https://github.com/phac-nml/promer,1.2,python,,(0/1),(0/1),(0/1),True,True,
sistr_cmd,2489.0,133.0,sistr_cmd,SISTR in silico serotyping tool,,,,,,Up-to-date,https://github.com/phac-nml/sistr_cmd,Sequence Analysis,sistr_cmd,nml,,1.1.1,sistr_cmd,1.1.1,(0/1),(1/1),(1/1),True,True,
smalt,,,smalt,SMALT aligns DNA sequencing reads with a reference genome.,,,,,,Up-to-date,http://www.sanger.ac.uk/science/tools/smalt-0,Sequence Analysis,smalt,nml,https://sourceforge.net/projects/smalt/,0.7.6,smalt,0.7.6,(0/1),(0/1),(0/1),True,True,
srst2,205.0,22.0,srst2,Short Read Sequence Typing for Bacterial Pathogens,,,,,,To update,,Sequence Analysis,srst2,nml,,0.3.7,srst2,0.2.0,(0/1),(0/1),(1/1),True,True,
staramr,12673.0,889.0,staramr_search,"Scan genome contigs against the ResFinder, PlasmidFinder, and PointFinder antimicrobial resistance databases.",,,,,,Up-to-date,https://github.com/phac-nml/staramr,Sequence Analysis,staramr,nml,https://github.com/phac-nml/galaxy_tools/tree/master/tools/staramr,0.10.0,staramr,0.10.0,(1/1),(1/1),(1/1),True,True,
stringmlst,,,stringmlst,Rapid and accurate identification of the sequence type (ST),,,,,,To update,,Sequence Analysis,stringmlst,nml,,1.1.0,stringMLST,0.6.3,(0/1),(0/1),(0/1),True,True,
cd_hit_dup,,,cd_hit_dup,simple tool for removing duplicates from sequencing reads,,,,,,To update,,"Metagenomics, Sequence Analysis",cd_hit_dup,devteam,https://github.com/galaxyproject/tools-devteam/tree/master/tools/cd_hit_dup,0.0.1,cd-hit-auxtools,4.8.1,(1/1),(0/1),(0/1),True,True,
multispecies_orthologous_microsats,,,multispecies_orthologous_microsats,Extract orthologous microsatellites,,,,,,To update,,"Sequence Analysis, Variant Analysis",multispecies_orthologous_microsats,devteam,https://github.com/galaxyproject/tools-devteam/tree/master/tools/multispecies_orthologous_microsats,1.0.0,bx-sputnik,,(0/1),(0/1),(0/1),True,True,
quality_filter,,,qualityFilter,Filter nucleotides based on quality scores,,,,,,To update,,"Sequence Analysis, Variant Analysis",quality_filter,devteam,https://github.com/galaxyproject/tools-devteam/tree/master/tools/quality_filter,1.0.1,bx-python,0.10.0,(0/1),(0/1),(0/1),True,True,
gi2taxonomy,660.0,27.0,Fetch Taxonomic Ranks,Fetch taxonomic representation,,,,,,To update,https://bitbucket.org/natefoo/taxonomy,Metagenomics,gi2taxonomy,devteam,https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/taxonomy/gi2taxonomy,1.1.1,taxonomy,0.9.0,(0/1),(0/1),(1/1),True,True,
kraken2tax,14683.0,481.0,Kraken2Tax,Convert Kraken output to Galaxy taxonomy data.,,,,,,To update,https://bitbucket.org/natefoo/taxonomy,Metagenomics,kraken2tax,devteam,https://github.com/galaxyproject/tools-devteam/blob/master/tool_collections/taxonomy/kraken2tax/,1.2+galaxy0,gawk,,(1/1),(1/1),(1/1),True,True,
