Suite ID	Homepage	Suite source
CRSConverter	https://github.com/Morphy427/phylodiversity_workflow/CRSConverter	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Phylodiversity_workflow
EstimEndem	https://github.com/Morphy427/phylodiversity_workflow/EstimEndem	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Phylodiversity_workflow
Geometric means (Dead wood)	https://github.com/PaulineSGN/Galaxy_tool_moyenne_geom	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Geom_mean_workflow
PylOccuMatcher	https://github.com/Morphy427/phylodiversity_workflow/PhylOccuMatcher	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Phylodiversity_workflow
PyloIndex	https://github.com/Morphy427/phylodiversity_workflow/PyloIndex	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Phylodiversity_workflow
WormsMeasurements	https://github.com/jeanlecras/tools-ecology	https://github.com/jeanlecras/tools-ecology/tree/master/tools/WormsMeasurements
abacas	https://github.com/phac-nml/abacas	https://github.com/phac-nml/abacas
assemblystats	https://github.com/phac-nml/galaxy_tools	https://github.com/phac-nml/galaxy_tools
champ_blocs		https://github.com/Marie59/champ_blocs
data_exploration		https://github.com/Marie59/Data_explo_tools
earth	https://github.com/Marie59/FE-ft-ESG/tree/main/earth	https://github.com/galaxyecology/tools-ecology/tree/master/tools/earth
ecoregionalization	https://github.com/PaulineSGN/Workflow_Galaxy	https://github.com/galaxyecology/tools-ecology/tree/master/tools/Ecoregionalization_workflow
emlassemblyline	https://github.com/EDIorg/EMLassemblyline	https://github.com/galaxyecology/tools-ecology/tree/master/tools/EMLassemblyline
erga_ear	https://github.com/ERGA-consortium/EARs/tree/main	https://github.com/ERGA-consortium/EARs/tree/main
frogs	http://frogs.toulouse.inrae.fr/	https://github.com/geraldinepascal/FROGS-wrappers/
gdal	https://www.gdal.org	https://github.com/galaxyecology/tools-ecology/tree/master/tools/gdal
hifiasm	https://github.com/chhylp123/hifiasm	https://github.com/galaxyproject/tools-iuc/tree/main/tools/hifiasm
hirondelle_crim_ogc_api_processes	https://github.com/AquaINFRA/galaxy	https://github.com/galaxyecology/tools-ecology/tree/master/tools/ogc_api_processes_wrapper
interpolation	https://github.com/AquaINFRA/galaxy	https://github.com/galaxyecology/tools-ecology/tree/master/tools/interpolation
lca_wrapper	https://bitbucket.org/natefoo/taxonomy	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/taxonomy/lca_wrapper
marine_omics	https://github.com/Finn-Lab/SanntiS	https://github.com/galaxyecology/tools-ecology/tree/master/tools/marine_omics
mean_per_zone	https://github.com/NordicESMhub/galaxy-tools/blob/master/tools/mean-per-zone/	https://github.com/NordicESMhub/galaxy-tools/tree/master/tools/mean-per-zone
medenv	https://github.com/jeremyfix/medenv	https://github.com/jeremyfix/medenv
merquryfk	https://github.com/thegenemyers/MERQURY.FK	https://github.com/galaxyproject/tools-iuc/tree/main/tools/merquryfk
mitobim	https://github.com/chrishah/MITObim	https://github.com/galaxyproject/tools-iuc/tree/main/tools/mitobim
mitohifi	https://github.com/marcelauliano/MitoHiFi/tree/mitohifi_v2	https://github.com/bgruening/galaxytools/tree/master/tools/mitohifi
ncbi_egapx	https://github.com/ncbi/egapx	https://github.com/richard-burhans/galaxytools/tree/main/tools/ncbi_egapx
obisindicators	https://github.com/Marie59/obisindicators	https://github.com/galaxyecology/tools-ecology/tree/master/tools/obisindicators
ocean	https://github.com/Marie59/FE-ft-ESG/tree/main/ocean	https://github.com/galaxyecology/tools-ecology/tree/master/tools/ocean
ogcProcess_otb_bandmath	https://github.com/AquaINFRA/galaxy	https://github.com/galaxyecology/tools-ecology/tree/master/tools/OtbBandMath
ogcProcess_otb_meanShiftSmoothing	https://github.com/AquaINFRA/galaxy	https://github.com/galaxyecology/tools-ecology/tree/master/tools/interpolation
pampa		https://github.com/ColineRoyaux/PAMPA-Galaxy
phi_toolkit_report	https://git.ufz.de/borimcor/phage-host-analysis	https://github.com/Helmholtz-UFZ/ufz-galaxy-tools/blob/main/tools/phi-toolkit
plasmidspades		
regionalgam	https://github.com/RetoSchmucki/regionalGAM	https://github.com/galaxyecology/tools-ecology/tree/master/tools/regionalgam
repeatexplorer2	https://github.com/repeatexplorer/repex_tarean	https://github.com/galaxy-genome-annotation/galaxy-tools/tree/master/tools/repeatexplorer2
retrieve_bold	https://anaconda.org/conda-forge/r-bold	https://github.com/wpearman1996/MARES_database_pipeline/tree/master
sample_seqs	https://github.com/peterjc/pico_galaxy/tree/master/tools/sample_seqs	https://github.com/peterjc/pico_galaxy/tree/master/tools/sample_seqs
samtools_depad	http://www.htslib.org/	https://github.com/peterjc/pico_galaxy/tree/master/tools/samtools_depad
samtools_depth	http://www.htslib.org/	https://github.com/peterjc/pico_galaxy/tree/master/tools/samtools_depth
sdmpredictors	https://cran.r-project.org/web/packages/sdmpredictors/index.html	https://github.com/galaxyecology/tools-ecology/tree/master/tools/sdmpredictors
seq_primer_clip	https://github.com/peterjc/pico_galaxy/tree/master/tools/seq_primer_clip	https://github.com/peterjc/pico_galaxy/tree/master/tools/seq_primer_clip
