Title	Year	Journal
Manual curation for improved genome annotation of the functionally extinct northern white rhinoceros (Ceratotherium simum cottoni)	2026	PLOS One
Comparative Identification of Rare Salmonella Serovars from Snakes in Poland Using Slide Agglutination and Genomic Analysis, Including a Putatively Novel Serovar IIIb 38:z10:z6	2025	Applied Sciences
Draft genome sequence of Pseudomonas aeruginosa Pa047c, a pan-resistant strain isolated from an ICU in Manaus, Amazonas	2025	Microbiology Resource Announcements
Whole Genome Characterization of Borrelia bavariensis Strain KW3 Isolated from Ixodes Granulatus in South Korea.	2025	Vector borne and zoonotic diseases
R2G2: A Python-R Framework for Seamless Integration of R/Bioconductor Tools into Galaxy	2025	bioRxiv
Auditing Reproducibility in Non-Targeted Analysis: 103 LC/GC--HRMS Tools Reveal Temporal Divergence Between Openness and Operability	2025	
The control of prickle formation in Rubus	2025	bioRxiv
Natural variation in an NLR pair confers thermostable resistance to a devastating bacterial pathogen	2025	bioRxiv
Generative deep learning in bioinformatics: a microservices-driven paradigm for big data environment	2025	Journal of Big Data
Distinct Virome and Bacteriome Profiles of Term and Preterm Placentas from African, Asian and European Women	2025	bioRxiv
Long-term immune and epigenetic dysregulation following COVID-19.	2025	Clinical immunology
SRP/dGATAb modulates the ecdysone response bidirectionally via locus-specific regulatory landscape.	2025	Epigenetics & chromatin
Identification of transposable elements and satellite DNA in the Neotropical species Drosophila amaguana from the Ecuadorian Andean Forests	2025	PLOS One
Impact of low and high lipopolysaccharide doses on the early expression of immune related genes and transcription factors in chicken macrophage-like HD11 cells	2025	Poultry Science
A Putative Interaction between the Transmembrane Domains of Streptococcus pyogenes Sortase A and Its Endogenous Substrate M Protein Revealed by Molecular Dynamics Simulations	2025	The Journal of Physical Chemistry. B
Chromatin Landscape of Saccharomyces cerevisiae Acquiring H3K9 Methylation and Its Reader Molecule HP1.	2025	Genes to cells : devoted to molecular & cellular mechanisms
In-silico design and evaluation of a novel mRNA vaccine against human bocavirus 1: A neglected viral pathogen.	2025	Computers in biology and medicine
The molecular revolution in fungal diagnostics: bridging gaps across clinical, agricultural, and environmental mycology	2025	Mycology
Sequenced genomes and chromosome mapping illuminate key aspects of satellite DNA biology in Drosophila gouveai and D. borborema (buzzatii cluster, repleta group)	2025	Genetics and Molecular Biology
Derepression of the epithelial transcription factor GRHL2 promotes direct hepatocyte-to-cholangiocyte transdifferentiation	2025	PLOS Biology
The Immune-Antioxidant Trade-Off Mediated by Actinobacteria Drives Niche Differentiation: Physiological and Gut Microbiota Responses of Two Cold-Adapted Brown Frog Species to Contrasting Peak Daily Habitat Temperatures	2025	Animals : an Open Access Journal from MDPI
Genetic insights into antimicrobial resistance and virulence characteristics of Salmonella enterica isolated from Nile tilapia sourced from retail markets in Thailand	2025	BMC Microbiology
