upload1,4144712
toolshed.g2.bx.psu.edu/repos/iuc/snpsift/snpSift_filter/4.3+t.galaxy1,3394539
__DATA_FETCH__,2965364
toolshed.g2.bx.psu.edu/repos/devteam/column_maker/Add_a_column1/1.6,2538327
toolshed.g2.bx.psu.edu/repos/bgruening/sdf_to_tab/sdf_to_tab/2020.03.4+galaxy0,2165459
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_find_and_replace/1.1.3,2163843
Cut1,1957541
toolshed.g2.bx.psu.edu/repos/iuc/snpsift/snpSift_extractFields/4.3+t.galaxy0,1691155
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_filter/lofreq_filter/2.1.5+galaxy0,1177118
Filter1,996794
toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_line/1.1.2,983499
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call/2.1.5+galaxy0,978680
Grouping1,968537
toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/1.0.0_rc3+galaxy0,968123
toolshed.g2.bx.psu.edu/repos/devteam/column_maker/Add_a_column1/1.1.0,962340
toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.2+galaxy2,832421
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_viterbi/lofreq_viterbi/2.1.5+galaxy0,764817
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_indelqual/lofreq_indelqual/2.1.5+galaxy0,762289
toolshed.g2.bx.psu.edu/repos/iuc/snpeff_sars_cov_2/snpeff_sars_cov_2/4.5covid19,760352
toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp/0.20.1+galaxy0,745736
toolshed.g2.bx.psu.edu/repos/iuc/samtools_view/samtools_view/1.9+galaxy2,711452
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,690614
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.73+galaxy0,686948
toolshed.g2.bx.psu.edu/repos/iuc/qualimap_bamqc/qualimap_bamqc/2.2.2d+galaxy3,596604
toolshed.g2.bx.psu.edu/repos/bgruening/replace_column_by_key_value_file/replace_column_with_key_value_file/0.2,575809
toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.29.2,567745
toolshed.g2.bx.psu.edu/repos/devteam/concat/gops_concat_1/1.0.1,564897
toolshed.g2.bx.psu.edu/repos/devteam/subtract/gops_subtract_1/1.0.0,563950
toolshed.g2.bx.psu.edu/repos/devteam/merge/gops_merge_1/1.0.0,563676
toolshed.g2.bx.psu.edu/repos/iuc/datamash_ops/datamash_ops/1.1.0,538882
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.72+galaxy1,511903
toolshed.g2.bx.psu.edu/repos/wolma/mimodd_main/mimodd_reheader/0.1.8_1,481328
toolshed.g2.bx.psu.edu/repos/iuc/abricate/abricate/1.0.1,461487
CONVERTER_gz_to_uncompressed,451451
toolshed.g2.bx.psu.edu/repos/iuc/bcftools_consensus/bcftools_consensus/1.10,410829
param_value_from_file,407478
toolshed.g2.bx.psu.edu/repos/bgruening/align_it/ctb_alignit/1.0.4+galaxy0,401585
toolshed.g2.bx.psu.edu/repos/devteam/intersect/gops_intersect_1/1.0.0,347433
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call/2.1.5+galaxy1,345824
addValue,333404
toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0,329173
toolshed.g2.bx.psu.edu/repos/devteam/get_flanks/get_flanks1/1.0.0,324373
toolshed.g2.bx.psu.edu/repos/iuc/bcftools_annotate/bcftools_annotate/1.10,318752
toolshed.g2.bx.psu.edu/repos/devteam/column_maker/Add_a_column1/2.0,289277
toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fasta/tab2fasta/1.1.1,288399
toolshed.g2.bx.psu.edu/repos/iuc/ivar_trim/ivar_trim/1.3.1+galaxy0,285517
toolshed.g2.bx.psu.edu/repos/iuc/ivar_removereads/ivar_removereads/1.3.1+galaxy0,281388
toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka/1.14.6+galaxy1,278588
toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/2.18.2.2,274708
toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp/0.23.2+galaxy0,270583
toolshed.g2.bx.psu.edu/repos/peterjc/blastxml_to_top_descr/blastxml_to_top_descr/0.1.1,264327
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.2,233723
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.74+galaxy0,228979
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/1.6.4+galaxy1,208692
toolshed.g2.bx.psu.edu/repos/bgruening/align_it/ctb_alignit/1.0.3.1,201958
toolshed.g2.bx.psu.edu/repos/pjbriggs/trimmomatic/trimmomatic/0.38.1,199397
toolshed.g2.bx.psu.edu/repos/iuc/table_compute/table_compute/1.2.4+galaxy0,193110
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/2.0.1+galaxy2,191564
__SET_METADATA__,179859
toolshed.g2.bx.psu.edu/repos/iuc/ivar_trim/ivar_trim/1.3.1+galaxy2,172839
