Galaxy wrapper id	Description	To keep	Deprecated
ThermoRawFileParser	Thermo RAW file converter		
b2btools	This software suite provides structural predictions for protein sequences made by Bio2Byte group.About Bio2Byte: We investigate how the dynamics, conformational states, and available experimental data of proteins relate to their amino acid sequence.Underlying physical and chemical principles are computationally unraveled through data integration, analysis, and machine learning, so connecting themto biological events and improving our understanding of the way proteins work.		
bed_to_protein_map	Converts a BED file to a tabular list of exon locations		
bumbershoot			
calisp	Calgary approach to isotopes in proteomics		
cardinal	Statistical and computational tools for analyzing mass spectrometry imaging datasets		
cite_seq_count	Count CMO/HTO		
colabfold	Protein prediction based on AlphaFold2		
custom_pro_db	CustomProDB		
custom_pro_db_annotation_data_manager	CustomProDB Annotation		
data_manager_eggnog_mapper	downloads eggnog data for eggnog-mapper		
data_manager_eggnog_mapper_abspath	download eggnog data for eggnog-mapper		
dbbuilder	Protein Database Downloader		
decoyfasta	Galaxy tool wrapper for the transproteomic pipeline decoyFASTA tool.		
dia_umpire	DIA-Umpire analysis for data independent acquisition (DIA) mass spectrometry-based proteomics		
dialignr	DIAlignR is an R package for retention time alignment of targeted mass spectrometric data, including DIA and SWATH-MS data. This tool works with MS2 chromatograms directly and uses dynamic programming for alignment of raw chromatographic traces. DIAlignR uses a hybrid approach of global (feature-based) and local (raw data-based) alignment to establish correspondence between peaks.		
diann	DiaNN (DIA-based Neural Networks) is a software for DIA/SWATH data processing.		
diapysef	diapysef is a convenience package for working with DIA-PASEF data		
diffacto	Diffacto comparative protein abundance estimation		
dotknot	DotKnot is a heuristic method for pseudoknot prediction in a given RNA sequence		
eggnog_mapper	eggnog-mapper fast functional annotation of novel sequences		
encyclopedia	Mass Spec Data-Independent Acquisition (DIA) MS/MS analysis		
fastg2protlib	Generate FASTA from FASTG		
feature_alignment	TRIC integrates information from all available runs via a graph-based alignment strategy		
filter_by_fasta_ids	Filter FASTA on the headers and/or the sequences		
flashlfq	FlashLFQ mass-spectrometry proteomics label-free quantification		
fragpipe	Data analysis for mass spectrometry-based proteomics.		
hardklor	Hardklör		
idconvert	Convert mass spectrometry identification files on linux or MacOSX		
improviser	Visualisation of PepXML files		
lfq_protein_quant	Enable protein summarisation and quantitation		
maldiquant	MALDIquant provides a complete analysis pipeline for MALDI-TOF and other 2D mass spectrometry data.		
map_peptides_to_bed	Map peptides to a reference genome for display by a genome browser		
maxquant	wrapper for MaxQuant		
meta_proteome_analyzer	MetaProteomeAnalyzer		
metanovo	Produce targeted databases for mass spectrometry analysis.		
metaquantome	quantitative analysis of microbiome taxonomy and function		
moFF	moFF (a modest Feature Finder) extracts MS1 intensities from RAW and mzML spectrum files.		
morpheus	Morpheus MS Search Application		
mqppep	MaxQuant Phosphoproteomic Enrichment Pipeline - Preprocessing and ANOVA		
msconvert	msconvert Convert and/or filter mass spectrometry files (including vendor formats) using the official Docker container		
msgfplus	MSGF+		
msms_extractor	Extract MS/MS scans from the mzML file(s) based on PSM report.		
msstats	MSstats tool for analyzing mass spectrometry proteomic datasets		
