Suite ID	Suite owner	Description	To keep	Deprecated
10x_bamtofastq	bgruening	Converts 10x Genomics BAM to FASTQ	False	False
SCCAF	ebi-gxa	SCCAF: Single Cell Clustering Assessment Framework.	False	False
aegean	iuc	AEGeAn toolkit wrappers	False	False
anndata	iuc	Import, Export, Inspect and Manipulate Anndata and Loom objects	True	False
arriba	iuc	Arriba detects fusion genes in RNA-Seq data after running RNA-STAR	False	False
askor_de	genouest	AskoR links EdgeR and AskOmics	False	False
atlas_fastq_provider	ebi-gxa	Retrieval and download of FASTQ files from ENA and other repositories such as HCA.	False	False
bamparse	artbio	Generates hit count lists from bam alignments.	False	False
baredsc	iuc	baredSC is a tool that uses a Monte-Carlo Markov Chain to estimate a confidence interval on the probability density function (PDF) of expression of one or two genes from single-cell RNA-seq data.	True	False
bctools	iuc	bctools is a set of tools for handling barcodes and UMIs in NGS data.bctools can be used to merge PCR duplicates according to unique molecular barcodes (UMIs),to extract barcodes from arbitrary positions relative to the read starts,to clean up readthroughs into UMIs with paired-end sequencing andhandles binary barcodes as used with uvCLAP and FLASH.License: Apache License 2.0		
bioconductor-scater	iuc	Scater (Single-Cell Analysis Toolkit for gene Expression data in R) is acollection of tools for doing various analyses of single-cell RNA-seq geneexpression data, with a focus on quality control and visualization.		
bioconductor_scp	recetox	scp is a package for the single cell proteomics data processing.	False	False
brew3r_r	iuc	Extend 3' end of a GTF using another GTF as a template	False	False
cemitool	iuc	Gene co-expression network analysis tool	True	False
cherri	iuc	Computational Help Evaluating RNA-RNA interactions		
chira	iuc	Chimeric Read Annotator for RNA-RNA interactome data	False	False
cite_seq_count	iuc	Count CMO/HTO	True	False
cosg	iuc	Marker gene identification for single-cell sequencing data using COSG.	True	False
cpat	bgruening	Coding-potential assessment tool using an alignment-free logistic regression model.	False	False
cpm_tpm_rpk	artbio	Generate CPM,TPM or RPK from raw counts	False	False
crosscontamination_barcode_filter	iuc	Barcode contamination discovery tool	True	False
cuffcompare	devteam	Galaxy wrappers for the Cuffcompare tool.	False	False
cuffdiff	devteam	Galaxy wrappers for the Cuffdiff tool.	False	False
cufflinks	devteam	Galaxy wrappers for the Cufflinks tool.	False	False
cuffmerge	devteam	Galaxy wrappers for the Cuffmerge tool.	False	False
cuffnorm	devteam	The Cuffnorm tool	False	False
cuffquant	devteam	The Cuffquant tool	False	False
deg_annotate	iuc	Annotate DESeq2/DEXSeq output tables	True	False
deseq2	iuc	Differential gene expression analysis based on the negative binomial distribution	True	False
deseq2_normalization	artbio	Normalizes gene hitlists	True	False
dexseq	iuc	Inference of differential exon usage in RNA-Seq	True	False
dropletutils	iuc	DropletUtils - Utilities for handling droplet-based single-cell RNA-seq data	True	False
edger	iuc	Perform RNA-Seq differential expression analysis using edgeR pipeline	True	False
egsea	iuc	This tool implements the Ensemble of Gene Set Enrichment Analyses (EGSEA) method for gene set testing	True	False
episcanpy	iuc	EpiScanpy – Epigenomics single cell analysis in python	True	False
fastq_utils	ebi-gxa	Set of tools for handling fastq files	False	False
featurecounts	iuc	featureCounts counts the number of reads aligned to defined masked regions in a reference genome	False	False
fgsea	iuc	Perform gene set testing using fgsea	True	False
genomic_super_signature	iuc	Interpretation of RNAseq experiments through robust, efficient comparison to public databases	False	False
gffcompare	iuc	Galaxy wrappers for Geo Pertea's GffCompare package.	False	False
gsc_center_scale	artbio	Center or scale (standardize) data	False	False
gsc_filter_cells	artbio	Filter single cell RNAseq data on library depth and number of detected genes	True	False
gsc_filter_genes	artbio	Filter genes that are detected in less than a fraction of libraries in single cell RNAseq data	True	False
gsc_gene_expression_correlations	artbio	Compute single-cell paire-wise gene expressions correlations	True	False
gsc_high_dimensions_visualisation	artbio	Generates PCA, t-SNE and HCPC visualisation	True	False
gsc_mannwhitney_de	artbio	Perform a mann-whitney differential testing between two sets of gene expression data	True	False
gsc_scran_normalize	artbio	Normalize raw counts using scran	True	False
gsc_signature_score	artbio	Compute signature scores from single cell RNAseq data	True	False
heinz	iuc	An algorithm for identification of the optimal scoring subnetwork.	True	False
infercnv	iuc	Infer Copy Number Variation from Single-Cell RNA-Seq Data	True	False
isoformswitchanalyzer	iuc	Statistical identification of isoform switching from RNA-seq derived quantification of novel and/or annotated full-length isoforms.	False	False
kallisto	iuc	kallisto is a program for quantifying abundances of transcripts from RNA-Seqdata, or more generally of target sequences using high-throughput sequencingreads. It is based on the novel idea of pseudoalignment for rapidlydetermining the compatibility of reads with targets, without the need foralignment.		
limma_voom	iuc	Perform RNA-Seq differential expression analysis using limma voom pipeline	False	False
masigpro	iuc	Identify significantly differential expression profiles in time-course microarray experiments	False	False
mircounts	artbio	Generates miRNA count lists from read alignments to mirBase.	False	False
multigsea	iuc	GSEA-based pathway enrichment analysis for multi-omics data	True	False
music	bgruening	Multi-subject Single Cell deconvolution (MuSiC)	False	False
nugen_nudup	iuc	Marks/removes PCR introduced duplicate molecules based on the molecular tagging technology used in NuGEN products.	False	False
pathifier	artbio	pathifier	False	False
pizzly	iuc	Pizzly is a program for detecting gene fusions from RNA-Seq data of cancer samples.		
psiclass	iuc	PsiCLASS is a reference-based transcriptome assembler for single or multiple RNA-seq samples.	False	False
