Name	Source	ID	Link	Creators	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	To keep	Deprecated
fastq-to-matrix-10x/scrna-seq-fastq-to-matrix-10x-cellplex	WorkflowHub	694	https://workflowhub.eu/workflows/694?version=11	Lucille Delisle, Mehmet Tekman, Hans-Rudolf Hotz, Daniel Blankenberg, Wendi Bacon	single-cell	2026-06-25	2026-06-25	11	11	6.0	, tp_awk_tool, cite_seq_count, pick_value	RNA-Seq quantification		MIT		Intergalactic Workflow Commission (IWC)	True	False
scRNA Plant Analysis	WorkflowHub	1574	https://workflowhub.eu/workflows/1574?version=1		gtn, galaxy, transcriptomics, single-cell	2025-06-02	2025-06-02	1	1	26.0	scanpy_plot, scanpy_normalize, scanpy_inspect, scanpy_cluster_reduce_dimension, anndata_import, scanpy_remove_confounders, anndata_manipulate, scanpy_filter	Expression profile clustering, Differential gene expression analysis, Principal component visualisation		CC-BY-4.0		Galaxy Training Network	True	False
Seurat Filter, Plot and Exlore tutorial	WorkflowHub	1570	https://workflowhub.eu/workflows/1570?version=1		gtn, galaxy, single-cell	2025-06-02	2025-06-02	1	1	12.0	seurat_scale_data, seurat_find_neighbours, seurat_find_clusters, seurat_plot, retrieve_scxa, seurat_find_variable_genes, seurat_run_umap, seurat_normalise_data, seurat_read10x, seurat_filter_cells, seurat_run_pca			CC-BY-4.0		Galaxy Training Network	True	False
MuSiC: Deconvolution	WorkflowHub	1557	https://workflowhub.eu/workflows/1557?version=1		gtn, galaxy, transcriptomics, single-cell	2025-06-02	2025-06-02	1	1	6.0	music_construct_eset, music_inspect_eset, music_deconvolution			MIT		Galaxy Training Network	True	False
Pseudobulk with decoupler and edgeR tutorial workflow	WorkflowHub	1556	https://workflowhub.eu/workflows/1556?version=1		gtn, galaxy, pseudobulk, single-cell	2025-06-02	2025-06-02	1	1	12.0	tp_awk_tool, __EXTRACT_DATASET__, column_remove_by_header, tp_replace_in_line, scanpy_filter, volcanoplot, tp_replace_in_column, anndata_inspect, edger, decoupler_pseudobulk	Expression profile clustering, Principal component visualisation, Differential gene expression analysis		CC-BY-4.0		Galaxy Training Network	True	False
Music: Pre-grouping cell types	WorkflowHub	1553	https://workflowhub.eu/workflows/1553?version=1		gtn, galaxy, transcriptomics, single-cell	2025-06-02	2025-06-02	1	1	4.0	music_construct_eset, music_deconvolution			MIT		Galaxy Training Network	True	False
Cell Cycle Regression Workflow	WorkflowHub	1550	https://workflowhub.eu/workflows/1550?version=1		10x, gtn, galaxy, transcriptomics, single-cell	2025-06-02	2025-06-02	1	1	19.0	table_compute, scanpy_plot, scanpy_inspect, tp_easyjoin_tool, scanpy_cluster_reduce_dimension, addValue, cat1, anndata_manipulate, anndata_inspect, sort1, scanpy_regress_variable	Expression profile clustering, Differential gene expression analysis, Principal component visualisation		CC-BY-4.0		Galaxy Training Network	True	False
Workflow - Standard processing of 10X single cell ATAC-seq data with SnapATAC2	WorkflowHub	1551	https://workflowhub.eu/workflows/1551?version=1		gtn, galaxy, epigenetics, scatac-seq	2025-06-02	2025-06-02	1	1	30.0	scanpy_plot, scanpy_normalize, snapatac2_clustering, scanpy_inspect, anndata_manipulate, snapatac2_preprocessing, scanpy_filter, snapatac2_plotting, anndata_inspect, replace_column_with_key_value_file, Cut1, anndata_ops	Gene expression profiling, Expression profile clustering, Differential gene expression analysis, Essential dynamics, Dimensionality reduction, Principal component visualisation		CC-BY-4.0		Galaxy Training Network	True	False
GTN - Preprocessing of 10X scRNA-seq data	WorkflowHub	1546	https://workflowhub.eu/workflows/1546?version=1		gtn, galaxy, transcriptomics, single-cell	2025-06-02	2025-06-02	1	1	4.0	dropletutils, rna_starsolo	Loading, Sequence alignment, Community profiling		CC-BY-4.0		Galaxy Training Network	True	False
RaceID Workflow	WorkflowHub	1547	https://workflowhub.eu/workflows/1547?version=1		gtn, galaxy, transcriptomics, single-cell	2025-06-02	2025-06-02	1	1	8.0	raceid_filtnormconf, raceid_trajectory, raceid_inspecttrajectory, raceid_inspectclusters, raceid_clustering	Expression profile clustering, Expression analysis, Molecular dynamics		CC-BY-4.0		Galaxy Training Network	True	False
LOCKED | Combining single cell datasets after pre-processing	WorkflowHub	1543	https://workflowhub.eu/workflows/1543?version=1		gtn, galaxy, name:single-cell, name:training	2025-06-02	2025-06-02	1	1	12.0	Paste1, anndata_manipulate, tp_replace_in_column, anndata_inspect, Cut1			MIT		Galaxy Training Network	True	False
LOCKED | Generating a single cell matrix using Alevin	WorkflowHub	1537	https://workflowhub.eu/workflows/1537?version=1		gtn, galaxy, name:single-cell, name:training	2025-06-02	2025-06-02	1	1	12.0	alevin, join1, _salmon_kallisto_mtx_to_10x, dropletutils_read_10x, anndata_manipulate, anndata_inspect, sceasy_convert, Cut1, _dropletBarcodePlot, _ensembl_gtf2gene_list, dropletutils_empty_drops	Sequence composition calculation, RNA-Seq quantification, Gene expression analysis		CC-BY-4.0		Galaxy Training Network	True	False
Generating a single cell matrix using Alevin	WorkflowHub	1533	https://workflowhub.eu/workflows/1533?version=1		gtn, galaxy	2025-06-02	2025-06-02	1	1	12.0	alevin, join1, _salmon_kallisto_mtx_to_10x, dropletutils_read_10x, sceasy_convert, Cut1, _dropletBarcodePlot, _ensembl_gtf2gene_list, dropletutils_empty_drops	Sequence composition calculation, RNA-Seq quantification, Gene expression analysis		CC-BY-4.0		Galaxy Training Network	True	False
Single-cell QC with scater	WorkflowHub	1511	https://workflowhub.eu/workflows/1511?version=1		gtn, galaxy, transcriptomics, single-cell	2025-06-02	2025-06-02	1	1	5.0	scater_filter, scater_plot_dist_scatter, scater_plot_pca, scater_create_qcmetric_ready_sce	Sequencing quality control, Sequence visualisation, Read pre-processing		CC-BY-4.0		Galaxy Training Network	True	False
Filter plot and explore single-cell RNA-seq data with Scanpy (imported from uploaded file)	WorkflowHub	1501	https://workflowhub.eu/workflows/1501?version=1		gtn, galaxy, name:single-cell, name:training	2025-06-02	2025-06-02	1	1	37.0	scanpy_plot, scanpy_normalize, scanpy_inspect, scanpy_cluster_reduce_dimension, anndata_manipulate, scanpy_filter, anndata_inspect	Expression profile clustering, Differential gene expression analysis, Principal component visualisation		MIT		Galaxy Training Network	True	False
scRNA Plant Analysis	WorkflowHub	1485	https://workflowhub.eu/workflows/1485?version=1		gtn, galaxy, transcriptomics, single-cell	2025-06-02	2025-06-02	1	1	26.0	scanpy_plot, scanpy_normalize, scanpy_inspect, scanpy_cluster_reduce_dimension, anndata_import, scanpy_remove_confounders, anndata_manipulate, scanpy_filter	Expression profile clustering, Differential gene expression analysis, Principal component visualisation		CC-BY-4.0		Galaxy Training Network	True	False
