Suite ID	bio.tool name	EDAM operations	EDAM topics
anndata	anndata		
baredsc	baredSC	Data retrieval, Expression correlation analysis, Differential gene expression profiling	RNA-Seq, Cytometry, Transcriptomics, Gene transcripts, Statistics and probability
cemitool	CEMiTool	Enrichment analysis, Pathway or network analysis	Gene expression, Transcriptomics, Microarray experiment
cite_seq_count	CITE-seq-Count	RNA-Seq quantification	Transcriptomics, Immunoproteins and antigens
cosg	COSG	Nucleic acid sequence analysis	Bioinformatics
deseq2	DESeq2	Differential gene expression analysis, RNA-Seq analysis	RNA-Seq
dexseq	DEXSeq	Enrichment analysis, Exonic splicing enhancer prediction	RNA-Seq
dropletutils	DropletUtils	Loading, Community profiling	Gene expression, RNA-seq, Sequencing, Transcriptomics
edger	edgeR	Differential gene expression analysis	Genetics, RNA-Seq, ChIP-seq
egsea	EGSEA	Gene set testing	Systems biology
episcanpy	epiScanpy	Enrichment analysis, Imputation	Epigenomics, Cell biology, DNA
fgsea	fgsea	Gene-set enrichment analysis	Genetics
gsc_filter_cells	Galaxy Single Cell suite	RNA-Seq analysis, Clustering, Visualisation, Expression analysis	
gsc_filter_genes	Galaxy Single Cell suite	RNA-Seq analysis, Clustering, Visualisation, Expression analysis	
gsc_gene_expression_correlations	Galaxy Single Cell suite	RNA-Seq analysis, Clustering, Visualisation, Expression analysis	
gsc_high_dimensions_visualisation	Galaxy Single Cell suite	RNA-Seq analysis, Clustering, Visualisation, Expression analysis	
gsc_mannwhitney_de	Galaxy Single Cell suite	RNA-Seq analysis, Clustering, Visualisation, Expression analysis	
gsc_scran_normalize	Galaxy Single Cell suite	RNA-Seq analysis, Clustering, Visualisation, Expression analysis	
gsc_signature_score	Galaxy Single Cell suite	RNA-Seq analysis, Clustering, Visualisation, Expression analysis	
heinz	Heinz	Pathway or network analysis	Genetics, Gene expression, Molecular interactions, pathways and networks
multigsea	multiGSEA	Gene-set enrichment analysis, Aggregation, Pathway analysis	Metabolomics, Molecular interactions, pathways and networks, Proteomics, Transcriptomics, Small molecules
rgrnastar	STAR	Sequence alignment	RNA-Seq, Transcriptomics
scanpy	SCANPY	Differential gene expression analysis	Gene expression, Cell biology, Genetics, Single-cell sequencing
scpipe	scPipe	Genome annotation, Validation, Alignment, Visualisation	Gene expression, RNA-Seq, Sequencing
seurat	Seurat		RNA-Seq, Transcriptomics
snapatac2	SnapATAC	Essential dynamics, Dimensionality reduction, Gene expression profiling	Epigenomics, Cell biology, Chromosome conformation capture, Mapping, Sequencing
